epoch,phase,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
0,warmup,1.930502681171193,0.27205882352941174,1.5090964752085068,0.23529411764705882,0.0009045084971874737,0.0009045084971874737
1,warmup,1.356161075479844,0.36764705882352944,1.2603996606434094,0.35294117647058826,0.0006545084971874737,0.0006545084971874737
2,warmup,1.1259904048022102,0.33088235294117646,0.9756047795800602,0.6470588235294118,0.00034549150281252633,0.00034549150281252633
3,warmup,1.1262412772459143,0.38235294117647056,1.0493355165509617,0.4411764705882353,9.549150281252633e-05,9.549150281252633e-05
4,warmup,1.0606555237489588,0.47058823529411764,0.9392288248328602,0.5,0.0,0.0
5,finetune,1.0102061664356905,0.4411764705882353,1.0448232223005856,0.4411764705882353,9.987820251299122e-05,9.987820251299121e-06
6,finetune,1.0511842475217932,0.5,0.9221336561090806,0.5588235294117647,9.951340343707852e-05,9.951340343707852e-06
7,finetune,1.0897337478749893,0.6544117647058824,0.8760723769664764,0.6764705882352942,9.890738003669029e-05,9.890738003669029e-06
8,finetune,1.0134985587176155,0.4852941176470588,0.9586709597531486,0.5,9.806308479691595e-05,9.806308479691595e-06
9,finetune,1.094455501612495,0.3897058823529412,0.9304751753807068,0.5294117647058824,9.698463103929544e-05,9.698463103929542e-06
10,finetune,0.9336697564405554,0.5588235294117647,0.8800762795350131,0.6470588235294118,9.567727288213005e-05,9.567727288213003e-06
11,finetune,0.9328452348709106,0.625,0.9703402659472298,0.5588235294117647,9.414737964294636e-05,9.414737964294634e-06
12,finetune,1.0167161015903248,0.47058823529411764,1.0113835141939276,0.5882352941176471,9.24024048078213e-05,9.240240480782128e-06
13,finetune,0.9763584838194006,0.4117647058823529,0.8776704046656104,0.6470588235294118,9.045084971874738e-05,9.045084971874737e-06
14,finetune,0.9109260054195628,0.4485294117647059,0.8524168607066659,0.6470588235294118,8.830222215594889e-05,8.830222215594889e-06
15,finetune,0.9943976682775161,0.5514705882352942,0.9052678294041577,0.5882352941176471,8.596699001693255e-05,8.596699001693255e-06
16,finetune,1.0588736113379984,0.4852941176470588,0.8955988322987276,0.6470588235294118,8.34565303179429e-05,8.34565303179429e-06
17,finetune,1.0361767586539774,0.6470588235294118,0.860582148327547,0.7058823529411765,8.07830737662829e-05,8.07830737662829e-06
18,finetune,1.0075778820935417,0.5147058823529411,0.8727709466920179,0.6176470588235294,7.795964517353733e-05,7.795964517353732e-06
19,finetune,0.8888754844665527,0.6176470588235294,0.8759600187049192,0.6470588235294118,7.5e-05,7.4999999999999985e-06
20,finetune,0.9381918977288639,0.6102941176470589,0.8461451398975709,0.6764705882352942,7.191855733945387e-05,7.191855733945386e-06
21,finetune,0.9601698342491599,0.5367647058823529,0.8630528660381541,0.6764705882352942,6.87303296707956e-05,6.873032967079559e-06
22,finetune,0.8680242510402904,0.6691176470588235,0.8556977300082936,0.6764705882352942,6.545084971874738e-05,6.545084971874737e-06
23,finetune,0.8867255203864154,0.5808823529411765,0.8323114102377611,0.6764705882352942,6.20960947799834e-05,6.209609477998339e-06
24,finetune,1.0059106630437515,0.625,0.8093020416357938,0.6764705882352942,5.868240888334654e-05,5.868240888334652e-06
25,finetune,0.9810241811415729,0.5367647058823529,0.8147267234676024,0.6764705882352942,5.522642316338269e-05,5.522642316338267e-06
26,finetune,0.9112292528152466,0.75,0.886575649766361,0.6470588235294118,5.174497483512507e-05,5.174497483512505e-06
27,finetune,1.0503462447839624,0.4852941176470588,0.9560257108772502,0.6470588235294118,4.8255025164874976e-05,4.825502516487496e-06
28,finetune,0.9198959154241225,0.7132352941176471,0.891311047708287,0.6470588235294118,4.4773576836617344e-05,4.477357683661733e-06
29,finetune,0.915823873351602,0.6397058823529411,0.8349027335643768,0.6764705882352942,4.1317591116653494e-05,4.131759111665348e-06
30,finetune,0.8706444817430833,0.6544117647058824,0.8252749565769645,0.6764705882352942,3.790390522001661e-05,3.7903905220016605e-06
31,finetune,0.8514943543602439,0.5514705882352942,0.8629740967470056,0.6764705882352942,3.4549150281252636e-05,3.454915028125263e-06
32,finetune,0.8665791820077335,0.4485294117647059,0.8657851823989082,0.6764705882352942,3.12696703292044e-05,3.1269670329204395e-06
33,finetune,0.8239235106636497,0.5955882352941176,0.8587709051721236,0.6764705882352942,2.8081442660546125e-05,2.808144266054612e-06
34,finetune,0.859648634405697,0.5220588235294118,0.8476660917786991,0.6764705882352942,2.500000000000001e-05,2.5000000000000006e-06
