epoch,phase,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
0,warmup,2.3887555178473976,0.23529411764705882,1.2507565512376673,0.5294117647058824,0.00075,0.00075
1,warmup,1.282291608698228,0.39705882352941174,1.114676552660325,0.4117647058823529,0.0002500000000000001,0.0002500000000000001
2,warmup,1.1413281735251932,0.45588235294117646,1.002374091569115,0.5588235294117647,0.0,0.0
3,finetune,1.0955615394255693,0.4411764705882353,0.9710173992549672,0.5588235294117647,9.829629131445342e-05,9.829629131445342e-06
4,finetune,1.134125597336713,0.5588235294117647,0.9564145663205315,0.5588235294117647,9.330127018922195e-05,9.330127018922195e-06
5,finetune,1.177155407036052,0.45588235294117646,0.9682750351288739,0.6176470588235294,8.535533905932738e-05,8.535533905932739e-06
6,finetune,1.1232651121476118,0.47058823529411764,0.9721329843296724,0.6176470588235294,7.500000000000001e-05,7.500000000000002e-06
7,finetune,1.023331270498388,0.5882352941176471,0.9309506205951467,0.7058823529411765,6.294095225512605e-05,6.294095225512605e-06
8,finetune,1.10978965548908,0.49264705882352944,0.9216579970191506,0.6764705882352942,5.000000000000001e-05,5.000000000000001e-06
9,finetune,1.0679342115626616,0.5955882352941176,0.9215999841690063,0.7058823529411765,3.705904774487398e-05,3.7059047744873977e-06
10,finetune,0.9967999949174768,0.5220588235294118,0.918561726808548,0.6764705882352942,2.5000000000000018e-05,2.500000000000002e-06
11,finetune,1.0834830192958607,0.5,0.9179000275976518,0.6764705882352942,1.4644660940672632e-05,1.4644660940672633e-06
12,finetune,0.977110371870153,0.4117647058823529,0.9134056112345528,0.6764705882352942,6.698729810778067e-06,6.698729810778067e-07
13,finetune,1.0437999472898596,0.4411764705882353,0.9118433980380788,0.6764705882352942,1.7037086855465907e-06,1.7037086855465907e-07
14,finetune,1.0546205604777616,0.49264705882352944,0.9118733616436229,0.6764705882352942,0.0,0.0
