epoch,phase,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
0,warmup,2.0672124413882984,0.27205882352941174,1.3470533455119413,0.38235294117647056,0.00075,0.00075
1,warmup,1.502414345741272,0.27941176470588236,1.3011686100679285,0.4411764705882353,0.0002500000000000001,0.0002500000000000001
2,warmup,1.3020971732981064,0.40441176470588236,1.1746695427333607,0.4411764705882353,0.0,0.0
3,finetune,1.2342738824732162,0.5,1.069791134665994,0.5588235294117647,9.829629131445342e-05,9.829629131445342e-06
4,finetune,1.1993184720768648,0.375,1.0096175320008223,0.6470588235294118,9.330127018922195e-05,9.330127018922195e-06
5,finetune,1.1236236025305355,0.5661764705882353,0.9577358540366677,0.6470588235294118,8.535533905932738e-05,8.535533905932739e-06
6,finetune,1.0672926341786104,0.5661764705882353,0.9438299852259019,0.6176470588235294,7.500000000000001e-05,7.500000000000002e-06
7,finetune,1.0768155911389519,0.47058823529411764,0.9466333810020896,0.5882352941176471,6.294095225512605e-05,6.294095225512605e-06
8,finetune,1.1291666802238016,0.4632352941176471,0.9493732662761912,0.5588235294117647,5.000000000000001e-05,5.000000000000001e-06
9,finetune,1.0333829416948206,0.5514705882352942,0.9475184994585374,0.5588235294117647,3.705904774487398e-05,3.7059047744873977e-06
10,finetune,1.0411614109488094,0.6029411764705882,0.9319643763934865,0.5588235294117647,2.5000000000000018e-05,2.500000000000002e-06
11,finetune,1.0513264922534717,0.47058823529411764,0.9266121247235466,0.6176470588235294,1.4644660940672632e-05,1.4644660940672633e-06
12,finetune,1.0736037072013407,0.5441176470588235,0.9266881592133466,0.6176470588235294,6.698729810778067e-06,6.698729810778067e-07
13,finetune,0.9368478059768677,0.6838235294117647,0.9265208104077507,0.6176470588235294,1.7037086855465907e-06,1.7037086855465907e-07
14,finetune,1.1114008356543148,0.4264705882352941,0.9267751925131854,0.6176470588235294,0.0,0.0
