epoch,phase,train_loss,train_acc,val_loss,val_acc,lr_head,lr_backbone
0,warmup,3.0059639425838696,0.23529411764705882,6.944935574251063,0.17647058823529413,0.00075,0.00075
1,warmup,5.337443169425516,0.29411764705882354,2.9556955589967617,0.17647058823529413,0.0002500000000000001,0.0002500000000000001
2,warmup,2.8687240446315094,0.17647058823529413,1.7241592968211454,0.17647058823529413,0.0,0.0
3,finetune,1.9988196387010462,0.29411764705882354,1.6287856873343973,0.17647058823529413,9.829629131445342e-05,9.829629131445342e-06
4,finetune,1.7357583186205696,0.3235294117647059,1.5655253634733313,0.17647058823529413,9.330127018922195e-05,9.330127018922195e-06
5,finetune,1.569760280496934,0.29411764705882354,1.5115903615951538,0.17647058823529413,8.535533905932738e-05,8.535533905932739e-06
6,finetune,1.7718702344333424,0.20588235294117646,1.466762107961318,0.17647058823529413,7.500000000000001e-05,7.500000000000002e-06
7,finetune,1.427039062275606,0.3235294117647059,1.4339165336945479,0.17647058823529413,6.294095225512605e-05,6.294095225512605e-06
8,finetune,1.5296974462621353,0.23529411764705882,1.405598843798918,0.17647058823529413,5.000000000000001e-05,5.000000000000001e-06
9,finetune,1.454537167268641,0.2647058823529412,1.3867942936280195,0.17647058823529413,3.705904774487398e-05,3.7059047744873977e-06
10,finetune,1.3976832698373234,0.3235294117647059,1.3749556260950424,0.17647058823529413,2.5000000000000018e-05,2.500000000000002e-06
11,finetune,1.3506763542399687,0.23529411764705882,1.3685363881728227,0.17647058823529413,1.4644660940672632e-05,1.4644660940672633e-06
12,finetune,1.3791287927066578,0.4411764705882353,1.3657543659210205,0.17647058823529413,6.698729810778067e-06,6.698729810778067e-07
13,finetune,1.566013967289644,0.14705882352941177,1.364496862187105,0.17647058823529413,1.7037086855465907e-06,1.7037086855465907e-07
14,finetune,1.3811328060486738,0.35294117647058826,1.364198460298426,0.17647058823529413,0.0,0.0
